Location,Unit,PointList,Description,Tag,Tag,elecMeterLoad,EXCEPTION-Do not load
Blk A,PFCU 5-1A,pfcu,Serves BLK A AHU 5-1A,hvac,ahu,Blk A Main Power Meter
Blk A,PFCU 5-1B,pfcu,Serves BLK A AHU 5-1B,hvac,ahu,Blk A Main Power Meter
Blk A,PFCU 5-1C,pfcu,Serves BLK A AHU 5-1C,hvac,ahu,Blk A Main Power Meter
Blk B,PFCU 1-1,pfcu,Serves Blk B AHU 1-1,hvac,ahu,Blk B Main Power Meter
Blk B,PFCU 1-2,pfcu,Serves Blk B AHU 1-2,hvac,ahu,Blk B Main Power Meter
Blk B,PFCU 1-3,pfcu,Serves Blk B AHU 1-3,hvac,ahu,Blk B Main Power Meter
Blk B,PFCU Exam,pfcu,Serves Blk B Exam,hvac,ahu,Blk B Main Power Meter
Blk D,PFCU 2-1,pfcu,Serves Blk D AHU 2-1,hvac,ahu,?
SC,PFCU 1,pfcu,Serves AHU 1,hvac,ahu,?
SC,PFCU 2,pfcu,Serves AHU 2,hvac,ahu,?
SC,PFCU 3,pfcu,Serves AHU 3,hvac,ahu,?
SC,PFCU 4,pfcu,Serves AHU 4,hvac,ahu,?
SC,PFCU BB,pfcu,Serves AHU MPH,hvac,ahu,?
SC,PFCU MPH,pfcu,Serves AHU BB,hvac,ahu,?
